,alpha,delta,beta,gamma,state,channel,subject
0,0.10918812507027434,0.12163685101505106,0.1798476133001233,0.04109134581939064,focused,AF3,subject_5
1,0.08387931446180759,0.07889052319932663,0.07436557587439431,0.03835747755109457,unfocused,AF3,subject_5
2,0.03545838244364645,0.10998293623422721,0.03902021086372924,0.01624170680329426,drowsy,AF3,subject_5
3,1.927218682215054,36.25553144570647,0.8924338366411528,0.21319410981808826,focused,F7,subject_5
4,1.7585385061007297,36.50617065806087,0.5905281132896603,0.1635701286467491,unfocused,F7,subject_5
5,1.4756140167021645,5.884435903941993,0.378232853879426,0.0554163032640669,drowsy,F7,subject_5
6,3.905914241711946,208.40424146294728,0.7847805693639858,0.2789740937574573,focused,F3,subject_5
7,1.3059901764668205,59.029347487467746,0.3305660801109306,0.0851487748110837,unfocused,F3,subject_5
8,0.15074230563173532,1.270578650178619,0.07191329413712083,0.024306002177290578,drowsy,F3,subject_5
9,0.04785517894859809,0.3202031262037009,0.058586529052025035,0.022251594521239305,focused,FC5,subject_5
10,0.07573900604480306,0.10557316162050245,0.0524558776024597,0.05111685170958118,unfocused,FC5,subject_5
11,0.11052100948226691,0.07146583215749965,0.08059536528792967,0.030009876811488756,drowsy,FC5,subject_5
12,0.08153379621338862,0.06608042875988915,0.04730699058769982,0.016870599113771544,focused,T7,subject_5
13,0.04134495949161325,0.027112085826524007,0.050754614890455504,0.03003035595174706,unfocused,T7,subject_5
14,0.07404052686769871,0.05896957603764273,0.09110560886733843,0.04032292369547264,drowsy,T7,subject_5
15,0.7692151966122744,8.924367996013933,0.5436459430508558,0.1376128737237828,focused,P7,subject_5
16,4.333673861631745,128.26446202528552,1.1002920868899688,0.17226843648958673,unfocused,P7,subject_5
17,1.4340275111850744,3.889935866639623,0.29669781725478656,0.08035428036144945,drowsy,P7,subject_5
18,2.9972607017638486,124.23576547838954,0.8640845633900431,0.33036556852267485,focused,O1,subject_5
19,9.13769519265365,503.00881351511936,1.9868959734044087,0.42763441125704366,unfocused,O1,subject_5
20,1.7671065823610366,10.018723264994497,0.4943950449170638,0.07408727200868173,drowsy,O1,subject_5
21,2.0550103466823573,108.77739069844304,1.10725600614699,0.1889861301518149,focused,O2,subject_5
22,1.2716461553216696,22.282793036661413,0.6718952578763309,0.08391433928311148,unfocused,O2,subject_5
23,3.9731365867432897,203.5137764562455,0.7694792036642795,0.19874438192781538,drowsy,O2,subject_5
24,1.18523125193928,36.60423049672981,0.9690705294209359,0.12316847954809154,focused,P8,subject_5
25,1.978075076635207,12.877028193258147,0.6757170521187513,0.10837689993668279,unfocused,P8,subject_5
26,1.7588527167398311,14.41681408045689,0.5935905635897383,0.09078722029869693,drowsy,P8,subject_5
27,0.0455754740380976,1.195506050653411,0.03022647280274288,0.007837940627771179,focused,T8,subject_5
28,0.047730433619372375,0.05916835889911354,0.029552478526249967,0.008540104044870777,unfocused,T8,subject_5
29,0.06778008511018561,0.23531999581288096,0.06115426128600491,0.017146228181712173,drowsy,T8,subject_5
30,0.09793302474777685,0.14454314468756982,0.06818175287039095,0.027692555816127597,focused,FC6,subject_5
31,0.06276056330216323,0.8788195190916602,0.0501489596861477,0.028280178081918485,unfocused,FC6,subject_5
32,0.08110247020427264,0.8180685777666997,0.06178097523270343,0.01907544749216326,drowsy,FC6,subject_5
33,0.07026901324378694,3.4380117147778195,0.053913667970863464,0.026788717420084287,focused,F4,subject_5
34,0.17006892402923288,1.804718416407636,0.05201614201675343,0.009032757173606363,unfocused,F4,subject_5
35,0.00015789321478638742,1.5255667354432997e-05,0.00029348511393551555,0.00119263962616826,drowsy,F4,subject_5
36,0.05712349896545761,0.047104064233796546,0.05867064215942844,0.035441307793370715,focused,F8,subject_5
37,0.018712181173476446,0.09544372353910732,0.01409264452152146,0.005822541847595626,unfocused,F8,subject_5
38,0.0047373957830058174,0.010779187880755646,0.004228299598773274,0.003232364493462374,drowsy,F8,subject_5
39,1.0748153081473282,6.385449555488301,0.5556525185465783,0.20382326156273028,focused,AF4,subject_5
40,2.1687572408553266,20.22110427911338,0.3713653409593631,0.10581611537194581,unfocused,AF4,subject_5
41,1.5906051828841723,16.88758716412879,0.5053854031152625,0.08741045825479954,drowsy,AF4,subject_5
42,0.20270919456550018,0.20914637624599855,0.06906710490479259,0.03403600492705023,focused,AF3,subject_10
43,0.1087270450186886,0.09925891724774627,0.06645367376254531,0.04392912805872952,unfocused,AF3,subject_10
44,0.07169475735803658,0.02557831045490217,0.08328383729426667,0.029003097765618678,drowsy,AF3,subject_10
45,1.6708264517372313,94.3843744261753,0.8488269265458286,0.18610688688566213,focused,F7,subject_10
46,1.960856058802315,532.9629628080437,1.0788500312404308,0.2102246311246623,unfocused,F7,subject_10
47,1.277135844735448,30.233494270138685,0.4532888272180967,0.09680712336118832,drowsy,F7,subject_10
48,1.909204457914899,112.14609450892326,1.3434990571976855,0.251785947639679,focused,F3,subject_10
